id,match_number,home_team_id,away_team_id,city_id,stage_id,kickoff_at,match_label,match_date,home_name,home_code,home_group,home_placeholder,away_name,away_code,away_group,away_placeholder,city_name,country,stadium,home_rank,home_points,away_rank,away_points,rank_diff,points_diff,has_teams,is_mexico
91,91,,,8,3,2026-07-05T20:00:00Z,W76 vs W78,2026-07-05,,,,,,,,,New York/New Jersey,USA,MetLife Stadium,,,,,0,0,,FALSE
92,92,,,15,3,2026-07-06T02:00:00Z,W79 vs W80,2026-07-06,,,,,,,,,Mexico City,Mexico,Estadio Azteca,,,,,0,0,,TRUE
93,93,,,3,3,2026-07-06T20:00:00Z,W83 vs W84,2026-07-06,,,,,,,,,Dallas,USA,AT&T Stadium,,,,,0,0,,FALSE
94,94,,,11,3,2026-07-07T03:00:00Z,W81 vs W82,2026-07-07,,,,,,,,,Seattle,USA,Lumen Field,,,,,0,0,,FALSE
95,95,,,1,3,2026-07-07T16:00:00Z,W86 vs W88,2026-07-07,,,,,,,,,Atlanta,USA,Mercedes-Benz Stadium,,,,,0,0,,FALSE
96,96,,,13,3,2026-07-07T23:00:00Z,W85 vs W87,2026-07-07,,,,,,,,,Vancouver,Canada,BC Place,,,,,0,0,,FALSE
97,97,,,2,4,2026-07-09T20:00:00Z,W89 vs W90,2026-07-09,,,,,,,,,Boston,USA,Gillette Stadium,,,,,0,0,,FALSE
98,98,,,6,4,2026-07-10T22:00:00Z,W93 vs W94,2026-07-10,,,,,,,,,Los Angeles,USA,SoFi Stadium,,,,,0,0,,FALSE
99,99,,,7,4,2026-07-11T21:00:00Z,W91 vs W92,2026-07-11,,,,,,,,,Miami,USA,Hard Rock Stadium,,,,,0,0,,FALSE
100,100,,,5,4,2026-07-12T02:00:00Z,W95 vs W100,2026-07-12,,,,,,,,,Kansas City,USA,Arrowhead Stadium,,,,,0,0,,FALSE
101,101,,,3,5,2026-07-14T20:00:00Z,W97 vs W98,2026-07-14,,,,,,,,,Dallas,USA,AT&T Stadium,,,,,0,0,,FALSE
102,102,,,1,5,2026-07-15T19:00:00Z,W99 vs W100,2026-07-15,,,,,,,,,Atlanta,USA,Mercedes-Benz Stadium,,,,,0,0,,FALSE
103,103,,,7,6,2026-07-18T21:00:00Z,RU101 vs RU102,2026-07-18,,,,,,,,,Miami,USA,Hard Rock Stadium,,,,,0,0,,FALSE
104,104,,,8,7,2026-07-19T19:00:00Z,W101 vs W102,2026-07-19,,,,,,,,,New York/New Jersey,USA,MetLife Stadium,,,,,0,0,,FALSE
